lineID,line
LN010100,으으... 바람 때문에 털이 엉망이 됐어.
,바람산은 이름만 바람산이 아니구나…
,그래도 도착했어. 여기가 바람의 유적이야.
,틀림없어. 알비 박사님이 직접 그리신 지도니까.
,저기 안쪽에 박사님들이 잡혀계실거야.
,나쁜 우루스 단 녀석들. 박사님들을 데려다가 무슨 짓을 하려는걸까…
,더 깊은 곳으로 들어가기 전에 뭐 궁금한 것 있어?
LN010199,나는 아직 정식 연구원은 아니지만. 아는 만큼은 대답해줄게.
LN010101,이 곳 바람의 유적에 대해 알려줘.
LN010102,납치당한 주민들에 대해 알려줘.
LN010103,내 임무에 대해 다시 알려줘.
LN010105,궁금한 것이 없어.
LN010106,바람의 유적은 고대 신족이 남긴 다섯 개의 유적지들 중 하나야.
,전설로 전해지는 다섯 개의 아티팩트들이 잠들어있다고 알려진 곳이지.
,믿겨져? 우리는 지금 전설을 두 눈으로 직접 보고있는 거야.
,솔직히 말해서. 나도 두 눈으로 보는건 처음이야.
,…왜 그렇게 봐? 나는 아직 조수란 말야. 마을 밖도 이번이 처음이고.
,후우… 하필이면 이렇게 암울할 때에 찾아오게 되서 너무 아쉬워.
LN010107,모두 우리 고대 신족 연구소의 박사님들이야…
,우리 연구소는 유적이 처음 발견된 뒤로 유적과 아티팩트에 대한 전설을 연구하고 있어.
,유적에서 발굴해낸 고대 문헌들을 해독하고. 아티팩트에 담긴 비밀을 연구하고 있지.
,그리고 연구소장이신 알비 박사님은 이 연구의 중심이야.
,최초의 유적 탐사에 나섰던 탐험가들 중 한 분이시기도 해.
,나? 나는 그 때 박사님 심부름 중이었어…
,그런데 다녀와보니 박사님들은 물론 연구 중이던 천둥의 망치까지 빼앗겼어.
,아마도 박사님들을 데리고 전설 속 아티팩트들을 손에 넣으려는게 목적이겠지.
,그렇게 내버려둬서는 절대로 안돼!
LN010108,응. 네 임무를 다시 정리해줄게.
,첫째. 납치된 박사님들을 구출해야 해.
,박사님들이 연구 중이신 내용들은 세상을 바꿀 수도 있어.
,그게 하필 나쁜 녀석들 손아귀에 들어갔으니… 우리가 빨리 구해드려야 해.
,둘째. 우루스 단 녀석들보다 먼저 아티팩트를 찾아서 안전한 곳으로 옮겨야 해.
,우루스 단 녀석들이 박사님들을 납치한 이유는 불 보듯 뻔해.
,녀석들은 아티팩트 5개를 모두 모아 전설 속 신족들의 힘을 손에 넣으려는거야.
,그렇게 되었다가는… 아르테는 녀석들의 것이 되겠지.
,우리가 먼저 아티팩트를 찾아서 녀석들이 찾지 못할 다른 곳으로 옮겨야 해.
,쉽지 않은 임무가 될 거야… 위험한 일도 많을 거고.
,그래도 지금 우리를 도울 수 있는 건 너밖에 없어.
,나는… 너처럼 용감하지도. 박사님들처럼 똑똑하지도 않아…
,그러니 부탁이야! 우리를 도와줘!
LN010110,혹시 더 궁금한 점이 있어?
LN010111,응. 알았어.
,이제 나는 다시 마을로 돌아가봐야 해.
,엉망이 된 연구소 정리도 해야하고. 혹시 도움이 될 기록이 있는지 살펴보려고 해.
,나도 무언가 도움이 되어야하지 않겠어?
,그러면 다시 한 번 잘 부탁해!
LN020100,에잇. 더는 몰라! 모른다니까!
,네 놈들이 내 입을 열려면… 으응…?
,너… 너는… 누구니?
LN020101,구하러 왔어요.
LN020102,다치신 곳은 없으세요?
LN020103,아…! 정말 우리를 구하러 온 건가?
LN020104,몸은 멀쩡해… 옷은 좀 더러워졌지만.
LN020105,아무튼 정말 고맙구나. 이 곳에서 꼼짝없이 죽는 줄 알았단다.
,그나저나 믿을 수 없군…
,너처럼 작은 친구가 이런 위험천만한 일에 나서다니.
,정말 용감하구나. 우리 미오와 좋은 친구가 되겠어.
,그보다 네가 꼭 알아야 하는 이야기들이 있단다.
,우리가 무사히 돌아가는 것보다도 더 중요한 일이야.
LN020199,그러니까... 어디서부터 알려줘야 할지…
LN020106,우루스 단에 대해 알려주세요.
LN020107,아티팩트에 대해 알려주세요.
LN020108,유적의 비밀에 대해 알려주세요.
LN020109,궁금한 것이 없어요.
LN020110,녀석들은 단순한 약탈자들이 아니야.
,우루스 단은 정확히 우리를 노리고 코쉬카 마을을 습격했지.
,우리는 뿔뿔이 흩어져서 서로 다른 유적으로 끌려갔단다.
,그리고는 이렇게 강제로 유적 탐사에 동원되고 있지…
,아마 연구소장님도 어딘가로 끌려가셨을텐데… 걱정이구나.
LN020111,아티팩트는 고대 신족들의 능력이 깃들어있는 신비한 물건이란다.
,이곳 바람의 유적에는 바람의 날개가 봉인되어있지.
,바람의 날개를 손에 넣은 자는 바람의 흐름을 다스릴 수 있다는 전설이 있어.
,정확히 어떤 힘인지는 모르겠지만. 날개라는 이름에 걸맞게 하늘을 날 수 있게 된다는 군.
,사료에도 신족들이 날개를 사용하여 아르테의 하늘 곳곳을 누빈 기록이 있단다.
LN020112,우리도 아직 유적의 모든 비밀을 밝혀내진 못했지만…
,유적 중앙의 거대한 문은 너도 보았겠지?
,그 옆에 놓인 비석에는 수수께끼가 적혀있단다.
,네 명의 나그네라면… 아마 한 해동안 불어오는 바람들에 대한 이야기겠지.
,고대 신족들은 시기마다 불어오는 바람에 다른 이름을 붙여 신으로 모셨다는 설화가 있었거든.
,신족 시대에는 농부들이 바람과 별자리를 이용해서 계절의 변화를 예측했다는 기록도 있었지.
,그래. 그 때 읽었던 기록에서 가을마다 찾아오는 바람의 신에게 감사의 제사를 올렸다는 이야기를 들었단다.
,이름은 아마… 에우루스라고 했던 것 같구나.
LN020113,혹시 더 궁금한 것은 없니?
LN020114,으음. 그렇군…
,지금 이 곳에는 나 말고도 갇혀있는 연구원들이 있단다.
,부탁이다. 우리를 꼭 도와주려무나.
LN030100,더는 못해… 눈알이 빠질 것 같다고…
,어라… 너는…
,이젠 헛것까지 보이는건가. 왠 꼬맹이가…
LN030101,구하러 왔어요.
LN030102,다치신 곳은 없으세요?
LN030103,하하. 이제 환청까지 들리는건가…
,…근데 너… 왜 사라지지 않는거야…?
,너…
,너너너… 너 진짜야? 진짜 구하러 온거야?!
,신이시여 감사합니다! 역시. 그냥 죽으라는 법은 없구나!
,이럴 때가 아니지… 녀석들은? 놈들은 어디있지?
LN030104,주변에 아무도 없어요.
LN030105,그러고보니… 다들 어디에 있는거지?
LN030106,에잇! 아무렴 어때! 
,여기 갇혀서 미쳐버리거나 잡혀서 죽으나 결과는 매 한가지야.
,너... 우리를 구해주러 왔다고 했지?
LN030107,아무도 없는 지금이 기회예요.
LN030108,어서 도망쳐요.
LN030109,으으... 나도 그러고 싶은데…
,지금은 그것보다 중요한 일이 있어.
,미안하지만 지금 보이는 것보다 더 심각한 상황이야.
,아티팩트… 아티팩트를 지켜야 해.
,부탁이야. 우리를 도와줘!
LN030199,도와준다면 내가 아는 선에서 전부 알려줄게!
LN030110,지금 상황이 어떤데요?
LN030111,아티팩트에 대해 알려주세요.
LN030112,유적의 비밀에 대해 알려주세요.
LN030113,궁금한 것이 없어요.
LN030114,우루스 단 놈들이 우리를 이용해서 아티팩트를 손에 넣으려 하고 있어.
,멍청한 본인들을 대신해서 우리보고 찾아오라는 이야기지.
,지금까진 적당히 거짓말을 섞어서 가짜 정보를 흘리고 있어.
,다행히 아직까진 눈치채지 못하는 것 같더군… 멍청한 놈들이라 다행이야.
,하지만 그것도 이젠 한계야… 다들 너무 지쳐가고 있어.
,이렇게 된 이상 이제는 우리가 녀석들보다 먼저 아티팩트를 손에 넣어야 해.
,지금 우리를 도와줄 수 있는 건 너뿐이야. 부탁해!
LN030115,으음. 어디서부터 설명해야할지…
,먼 옛날에는 우리랑 전혀 다른 모습의 사람들이 살고 있었어.
,털도 없고 날카로운 발톱이나 이빨도 없는 특이한 모습이었지.
,그렇게 약한 존재라면 살아남기 쉽지 않았겠지?
,그런데 놀랍게도 그냥 살아남는 것을 넘어 아르테를 지배했다는거야.
,우리는 그들이 번창할 수 있었던 이유를 아티팩트 속에서 찾고 있어.
,우리가 가진 그 어떤 발톱이나 이빨보다도 강력한 도구였다는거지.
,못 믿겠다고? 우리가 연구 중이던 천둥의 망치도 그런 아티팩트 중 하나야.
,손에 쥐었을 때 느껴졌던 그 강력함이란… 이 세상 물건이 아니었다구.
,겁이 나서 휘둘러보진 못했지만… 엄청난 기분이었어.
,그런 물건이 발타자르의 손에 들어갔으니…
,한시라도 빨리 움직여야 해. 다른 아티팩트를 녀석들이 가져가지 못하도록.
LN030116,내려오면서 커다란 문 봤지?
,유적의 더 깊은 곳으로 나아가기 위해선 저 커다란 문을 열어야 해.
,아마 비석에 적힌 수수께끼를 풀면 뭔가 알 수 있지 않을까?
,수수께끼에 적힌 네 명의 나그네… 아마 동서남북 네 방향을 이야기하는 걸지도 몰라.
,그러고보니 고대 신족들이 바람의 방향을 이용해서 항로를 개척했다는 기록을 읽은 적이 있어.
,장사꾼이나 탐험가들은 바람이 불어오는 방향을 기준으로 4개로 나눴다고 하지.
,음… 보레아스라는 이름이 기억에 남네. 남쪽을 향해 부는 바람을 그렇게 불렀다는 것 같아.
LN030117,혹시 더 궁금한 게 있어?
LN030118,알았어. 후우... 조금 어지럽네.
,지금 여기에는 나 말고도 붙잡혀있는 사람들이 더 있어.
,그들을 도와주면 유적의 비밀을 푸는데 도움이 될 거야.
,부탁해! 지금 우리에게는 너 밖에 없어.
LN040100,히익…! 자 잘못했어요! 조금만 더 시간을 주시면…
,어라라…? 꼬마…? 설마 너도 잡혀온거야?!
,이익! 피도 눈물도 없는 나쁜 놈들 같으니!
LN040101,구하러 왔어요.
LN040102,다치신 곳은 없으세요?
LN040103,꼬마 네가? 너… 어른 놀리면 못 쓴다?
LN040104,너는 괜찮은거야?! 어떻게 이런 곳에 이렇게 어린 애가…
LN040105,...설마. 진짜 누가 구해주러온거야?
,으아앙! 정말 다행이야! 여기서 꼼짝없이 죽는 줄 알았다구!
,빨리 도망가야 해! 아니지... 다른 사람들부터 구해야 하나?
,으... 그보다도 이대로 돌아가버리면 바람의 날개가 녀석들 손에…
,저. 저기… 구해주러 온 사람한테 미안하지만…
,우리 좀 도와줘! 우루스 단 녀석들을 막아야 해!
LN040106,제가 뭘 하면 되죠?
LN040107,우선 안전한 곳에서 생각해보는게…
LN040108,정말 도와주는거야?! 너 보기보다 용감하구나!
,마을로 무사히 돌아가면… 어떻게든 사례할 테니까!
,정말 고마워!
LN040109,나도 정말 그러고 싶어… 하지만 이대로 가다간 모두가 위험해!
,코쉬카 마을만을 이야기하는게 아니야. 아르테 전체가 위험해질거야!
,일단 부탁 받은 걸로 생각할게! 마을로 돌아가면 어떻게든 사례할테니까…
LN040110,어쩔 수 없네요…
LN040111,완전 막무가내잖아…
LN040112,정말 미안해. 그만큼 중대한 일이라서 그래.
LN040113,그러면… 지금까지 알아낸 정보들을 알려줄게.
LN040199,어떤 것부터 말해줄까?
LN040114,바람의 유적에 대해
LN040115,우루스 단에 대해
LN040116,유적의 비밀에 대해
LN040117,궁금한 게 없어요.
LN040118,너도 알고 있는지 모르겠지만 이곳은 바람의 유적이야.
,우리는 유적이라고 부르지만 아마도 바람의 신에게 봉헌된 신전 같은 곳이겠지.
,그런데 여길 단순히 신전이라고 부르기에는 모호한 부분이 많아.
,보통 신을 모시는 곳에는 신의 모습이나 이름을 명확히 밝혀놓는단 말이야?
,그런데 이 유적에서는 신의 모습과 이름을 애매모호하게 설명하고 있어.
,수수께끼도 그래… 어떤 신전이 모셔둔 신을 이렇게까지 숨기겠냐구.
LN040119,우루스 단을 이끄는 발타자르는 4명의 직속 부하를 데리고 있어.
,그 중에서 바람의 유적의 수색을 맡은 녀석은 여우 수인 아이비야.
,체구는 작은데 덩치들조차 무서워하는걸 보면 보이지 않는 무언가가 있나봐.
,그런데 확실히 눈치 하나는 기가 막히단 말이야…
,시간을 벌려고 거짓 정보를 조금씩 흘리고 있는데.
,조금이라도 거짓말에 헛점이 보이면 바로 간파해버려…
LN040120,예나 지금이나 바람은 우리 생활에서 제법 중요한 자연 요소 중 하나야.
,신족들의 시대에도 아마 마찬가지였던것 같아.
,사료 중에 아네모이라고 하는 이름이 자주 등장하는데
,이 아네모이라는 존재가 바람의 신 정도에 해당했던 모양이야.
,이 아네모이는 계절마다 모습을 바꿨는데. 그 모습이 네 명의 나그네인거지.
,그 이름은 각각 보레아스 에우로스 제피로스 노투스 였다는 것 같아.
,그 중에서 제피로스라는 이름이 자주 등장했던 것 같아.
,고대 신족들은 추운 겨울이 지나 눈이 녹을 때가 되면 제피로스를 맞이하는 축제를 벌였다는 기록이 있어.
LN040121,또 궁금한 내용 있어? 확실하게 물어보는 게 좋을거야.
LN040122,응. 알았어.
,도움 받는 주제에 부탁이나 해대고. 정말 미안해.
,나도 너처럼 용감했으면… 너같이 어린 꼬마한테 이런 부탁을 할 일도 없을텐데.
,하지만 믿어줘! 아르테 전체의 안녕이 걸린 일이야.
,그러면 믿고 기다릴게! 마을에서 꼭 만나자!
